Polities,Volunteers,Languages,Language Count,Principal Languages,Immigrant Languages,Duplicate Immigrant Languages,Geographic Note,Nationally Official Languages,Nationally Official Names,Nationally Official Data,Regionally Official Languages,Regionally Official Names,Regionally Official Data,Recognized Languages,Territories,Territory Count,Continent,Language Count Details,Videos Recorded,Corporate Sponsorship,Content resources,Poly Early Access,ISO 3166,Latitude,Longitude,Coordinates,Geocode
Botswana,,"brl,gwj,gnk,hio,huc,hnh,ktz,nhr,nmn,shg,tyu,two,tsn,xkv,yey",15,"eng,tsn","Chinese (1,000), Gujarati (4,000), Hai||om (30,000), Hindi (100), Luyana (7,500), Northern Sotho (11,000), Southern Sotho (9,300), Xhosa (9,300), Zulu (4,600)","Chinese (1,000), Gujarati (4,000), Hai||om (30,000), Hindi (100), Luyana (7,500), Northern Sotho (11,000), Southern Sotho (9,300), Xhosa (9,300), Zulu (4,600)",,"tsn,eng","Tswana, English","English, Tswana",,,,,,0,Africa,"The number of individual languages listed for Botswana is 29. All are living languages. Of these, 3 are institutional, 10 are developing, 13 are vigorous, and 3 are in trouble.",,,,,BW,-22.328474,24.684866,"-22.328474,24.684866",🔵 eyJpIjoiLTIyLjMyODQ3NCwyNC42ODQ4NjYiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjotMjIuMzI4NDc0LCJsbmciOjI0LjY4NDg2Nn0sImUiOjB9
Brunei,,"bsb,beg,kxd,ttg",4,"kxd,bsb,eng,zsm",,,,"eng,msa","English, Malay","Malay, English",,,,,,0,Eurasia,"The number of individual languages listed for Brunei is 15. All are living languages. Of these, 8 are institutional, 3 are developing, 1 is vigorous, and 3 are in trouble.",,,,,BN,4.535277,114.727669,"4.535277,114.727669",🔵 eyJpIjoiNC41MzUyNzcsMTE0LjcyNzY2OSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQuNTM1Mjc3LCJsbmciOjExNC43Mjc2Njl9LCJlIjowfQ==
Bulgaria,,"bqn,bul",2,"rmn,tur,bul","Armenian (5,620), Czech (9,000), Gheg Albanian (1,000), Greek (3,220), Romanian (5,520), Russian (15,800), Serbian (9,000), Ukrainian (1,760)","Armenian (5,620), Czech (9,000), Gheg Albanian (1,000), Greek (3,220), Romanian (5,520), Russian (15,800), Serbian (9,000), Ukrainian (1,760)",,bul,Bulgarian,Bulgarian,,,,,,0,Eurasia,"The number of individual languages listed for Bulgaria is 11. All are living languages. Of these, 1 is institutional, 5 are developing, 4 are vigorous, and 1 is in trouble.",,,,,BG,42.733883,25.48583,"42.733883,25.48583",🔵 eyJpIjoiNDIuNzMzODgzLDI1LjQ4NTgzIiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDIuNzMzODgzLCJsbmciOjI1LjQ4NTgzfSwiZSI6MH0=
Burkina Faso,,"bfo,bxl,bwy,bwq,bwj,box,bib,bbo,bof,cpo,cme,dgs,dya,dos,dnn,dgi,dgd,gna,gux,kfz,kst,kza,kqg,knz,lee,lob,mos,nnw,nuv,nti,pug,pnq,pnl,rkm,sym,seq,sep,sen,sld,skq,sos,sif,stj,sbd,tuz,tiq,tsp,vig,wbf,wib,xsm,xrb",52,"fra,dyu,mos,fuh","Jowulu (1,000)","Jowulu (1,000)",,"mos,dyu,ful,fra","Mòoré, Jula, Fulah, French","French, Fula, Jula, More",,,,,,0,Africa,"The number of individual languages listed for Burkina Faso is 69. All are living languages. Of these, 4 are institutional, 25 are developing, 26 are vigorous, 13 are in trouble, and 1 is dying.",,,,,BF,12.238333,-1.561593,"12.238333,-1.561593",🔵 eyJpIjoiMTIuMjM4MzMzLC0xLjU2MTU5MyIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjEyLjIzODMzMywibG5nIjotMS41NjE1OTN9LCJlIjowfQ==
Burundi,,run,1,"fra,run",Rwanda (900),Rwanda (900),,"run,fra,eng","Rundi, French, English","English, French, Kirundi",,,,,,0,Africa,"The number of individual languages listed for Burundi is 3. All are living languages. Of these, 3 are institutional.",,,,,BI,-3.373056,29.918886,"-3.373056,29.918886",🔵 eyJpIjoiLTMuMzczMDU2LDI5LjkxODg4NiIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOi0zLjM3MzA1NiwibG5nIjoyOS45MTg4ODZ9LCJlIjowfQ==
Cambodia,,"cja,krv,krr,khm,pcb,rka,syo,sxm,scq,smu,tpu,xkk",12,"khm,eng","Min Nan Chinese (350,000), Yue Chinese (20,000)","Min Nan Chinese (350,000), Yue Chinese (20,000)",,khm,"Khmer, Central",Khmer,,,,,,0,Eurasia,"The number of individual languages listed for Cambodia is 22. All are living languages. Of these, 1 is institutional, 5 are developing, 2 are vigorous, 10 are in trouble, and 4 are dying.",,,,,KH,12.565679,104.990963,"12.565679,104.990963",🔵 eyJpIjoiMTIuNTY1Njc5LDEwNC45OTA5NjMiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjoxMi41NjU2NzksImxuZyI6MTA0Ljk5MDk2M30sImUiOjB9
Cameroon,,"aal,azo,asj,ael,aku,add,anv,abb,ato,ags,agq,ass,bgj,bmv,bzv,bgf,bmo,btc,bss,bfp,bfm,bfj,byv,bsi,bse,bfd,byb,bri,bxs,bxp,bec,bko,beb,bqz,bkm,bdu,bkh,bqt,bkc,bqo,bdn,bqm,bju,bwt,bqd,bcw,bwh,biw,bce,bvm,bby,bbx,bbw,bvg,bbq,bbj,bbk,bhs,bbi,boe,bum,bnz,bax,baw,bav,bas,bag,baf,ckx,cuv,cug,dme,dek,dow,duz,dur,dii,dbq,dua,dmo,dmm,dae,dkx,ekm,ewo,emn,eto,fub,fmp,fll,fak,fal,gyi,gke,giz,gis,gou,gid,guv,gnd,gmn,gmm,hya,hij,hna,iyo,isu,jim,jbu,jia,jgo,kzr,kmp,kme,kfn,kfl,ksf,klc,ken,kqx,kdz,kkj,kwu,kvm,kvj,kot,kid,knp,leo,lem,luw,lns,lmx,lmp,lbi,lfa,mgg,mmu,msv,mzd,mfk,mfj,mfi,mlw,mfh,mff,mlr,mfd,mru,myg,meq,mlb,mxu,mea,mkk,mxf,mdd,mqb,mcu,mct,mcs,mcp,mpi,mij,mif,mbo,muy,muo,mhk,mug,muc,mnf,maf,mtk,mgo,nge,nla,nza,nkc,ndu,njy,njj,ndb,nwe,nvo,nnz,nnx,ncr,ncp,nnh,nbv,nhu,nmr,nml,ngy,ngv,nmg,ngn,ngj,nsh,nfu,obl,ozm,ost,oku,pfe,pny,pbi,pmn,pmm,szv,sgi,swq,sox,tsh,twn,tvu,toz,tik,tui,ttf,uiv,udl,usk,vut,weh,www,wok,wes,xmj,xmg,xmd,xmb,xed,yei,yko,ybb,yav,yat,yas,yam,zuy,zhw",243,"eng,fra",Efai (890),Efai (890),,"fra,eng","French, English","English, French",,,,,,0,Africa,"The number of individual languages listed for Cameroon is 286. Of these, 280 are living and 6 are extinct. Of the living languages, 12 are institutional, 91 are developing, 99 are vigorous, 54 are in trouble, and 24 are dying.",,,,,CM,7.369722,12.354722,"7.369722,12.354722",🔵 eyJpIjoiNy4zNjk3MjIsMTIuMzU0NzIyIiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6Ny4zNjk3MjIsImxuZyI6MTIuMzU0NzIyfSwiZSI6MH0=
Cape Verde Islands,,kea,1,"por,kea",,,,"kea,por","Kabuverdianu, Portuguese","Portuguese, Cape Verdean Creole",,,,,,0,Africa,"The number of individual languages listed for Cape Verde Islands is 2. All are living languages. Of these, 2 are institutional.",,,,,CV,16.002082,-24.013197,"16.002082,-24.013197",🔵 eyJpIjoiMTYuMDAyMDgyLC0yNC4wMTMxOTciLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjoxNi4wMDIwODIsImxuZyI6LTI0LjAxMzE5N30sImUiOjB9
Central African Republic,,"axk,aiy,bme,bfl,bff,bkj,bkg,bdt,bqk,bjo,bvq,bpd,boy,bbp,deq,dgk,gyg,gya,gdi,gbv,gbq,gbp,gbg,gnz,gba,geq,gso,ksp,kym,kcm,kbn,kuw,koj,kah,liy,lnl,lna,mzv,mdn,mcx,mgn,ngg,nzk,ndy,nbm,nmj,ngd,pnz,sqm,sbz,snj,sag,ukh,vae,yaj,yky,yul",57,"fra,sag","Bangi (7,440), Bomitaba (220), Hausa (20,000), Lingala (10,700), Mbandja (1,400), Ngbaka (3,000), Ngundi, Northern Ngbandi (290), Shuwa Arabic (63,000)","Bangi (7,440), Bomitaba (220), Hausa (20,000), Lingala (10,700), Mbandja (1,400), Ngbaka (3,000), Ngundi, Northern Ngbandi (290), Shuwa Arabic (63,000)",,"sag,fra","Sango, French","French, Sango",,,,,,0,Africa,"The number of individual languages listed for Central African Republic is 72. All are living languages. Of these, 2 are institutional, 17 are developing, 48 are vigorous, 3 are in trouble, and 2 are dying.",,,,,CF,6.611111,20.939444,"6.611111,20.939444",🔵 eyJpIjoiNi42MTExMTEsMjAuOTM5NDQ0IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6Ni42MTExMTEsImxuZyI6MjAuOTM5NDQ0fSwiZSI6MH0=
Comoros,,"wlc,wni,zdj",3,"fra,arb",,,,"fra,swb,arb","French, Comorian, Maore, Arabic, Standard","Arabic, Comorian, French",,,,,"Anjouan_KM, Grande Comore*_KM, Mohéli_KM",3,Africa,"The number of individual languages listed for Comoros is 6. All are living languages. Of these, 2 are institutional, 2 are developing, and 2 are vigorous.",,,,,KM,-11.875001,43.872219,"-11.875001,43.872219",🔵 eyJpIjoiLTExLjg3NTAwMSw0My44NzIyMTkiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjotMTEuODc1MDAxLCJsbmciOjQzLjg3MjIxOX0sImUiOjB9
Congo,,"akw,bmw,beq,bkw,bwz,bvx,bok,bui,dde,ebo,iyx,ifm,kxx,kkw,kwc,koh,ldi,lli,mkw,mdw,mdu,mdt,mow,mbm,moj,nzu,njx,ndn,nda,ngz,sdj,tyx,tsa,tyi,vif,xku,zmx",37,"fra,lin,ktu","Hausa (4,000), Portuguese (600), Sango (54,000)","Hausa (4,000), Portuguese (600), Sango (54,000)",,"ktu,lin,fra","Kituba, Lingala, French","French, Lingala, Munukutuba",,,,,,0,Africa,"The number of individual languages listed for Congo is 61. All are living languages. Of these, 3 are institutional, 17 are developing, 35 are vigorous, and 6 are in trouble.",,Bolloré Africa Logistics,,,CG,-0.228021,15.827659,"-0.228021,15.827659",🔵 eyJpIjoiLTAuMjI4MDIxLDE1LjgyNzY1OSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjAuMjI4MDIxLCJsbmciOjE1LjgyNzY1OX0sImUiOjB9
Costa Rica,,"bzd,brn,cjp,csr,gut",5,spa,"Yue Chinese (4,500)","Yue Chinese (4,500)",,spa,Spanish,Spanish,,,,,,0,Americas,"The number of individual languages listed for Costa Rica is 10. All are living languages. Of these, 1 is institutional, 3 are developing, 2 are vigorous, 2 are in trouble, and 2 are dying.",,,,,CR,9.748917,-83.753428,"9.748917,-83.753428",🔵 eyJpIjoiOS43NDg5MTcsLTgzLjc1MzQyOCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjkuNzQ4OTE3LCJsbmciOi04My43NTM0Mjh9LCJlIjowfQ==
Côte d’Ivoire,,"ald,adj,avi,abu,any,ahp,abi,ahm,ahi,aba,ati,btg,bev,bet,bjw,bci,dyu,dyi,dic,dnj,das,ebr,eot,ega,gxx,gwa,god,goa,ggu,gud,hwa,jod,jud,jek,ktj,kga,kzc,kfo,kyf,kxb,kqm,kwp,lor,loi,lda,mtb,mxx,mka,moa,ney,nku,neb,nwb,nhb,pye,plr,sev,sef,seb,ted,tjn,tgw,wec,wob,wan,yre",66,fra,"Bisa (63,000), Eastern Karaboro (5,610), Maasina Fulfulde (1,200), Nafaanra, Sìcìté Sénoufo, Soninke (100,000)","Bisa (63,000), Eastern Karaboro (5,610), Maasina Fulfulde (1,200), Nafaanra, Sìcìté Sénoufo, Soninke (100,000)",,fra,French,French,,,,,,0,Africa,"The number of individual languages listed for Côte d’Ivoire is 80. Of these, 79 are living and 1 is extinct. Of the living languages, 4 are institutional, 33 are developing, 37 are vigorous, 4 are in trouble, and 1 is dying.",,,,,CI,7.539989,-5.54708,"7.539989,-5.54708",🔵 eyJpIjoiNy41Mzk5ODksLTUuNTQ3MDgiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo3LjUzOTk4OSwibG5nIjotNS41NDcwOH0sImUiOjB9
Cuba,,"csf,luq",2,spa,"Catalan (3,500)","Catalan (3,500)",,spa,Spanish,Spanish,,,,,,0,Americas,"The number of individual languages listed for Cuba is 3. All are living languages. Of these, 1 is institutional, 1 is vigorous, and 1 is dying.","Abderrahman_20180217_shi,Anass_20180220_rif",,,,CU,21.521757,-77.781167,"21.521757,-77.781167",🔵 eyJpIjoiMjEuNTIxNzU3LC03Ny43ODExNjciLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjoyMS41MjE3NTcsImxuZyI6LTc3Ljc4MTE2N30sImUiOjB9
Cyprus,,acy,1,ell,,,,"tur,ell","Turkish, Greek","Greek, Turkish","acy,hye","Arabic, Cypriot Spoken, Armenian","Armenian, Cypriot Arabic",,,0,Eurasia,"The number of individual languages listed for Cyprus is 4. All are living languages. Of these, 2 are institutional, 1 is in trouble, and 1 is dying.",,,,,CY,35.126413,33.429859,"35.126413,33.429859",🔵 eyJpIjoiMzUuMTI2NDEzLDMzLjQyOTg1OSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjM1LjEyNjQxMywibG5nIjozMy40Mjk4NTl9LCJlIjowfQ==
Democratic Republic of the Congo,,"alz,asv,agh,bni,bmy,bzo,bzm,bml,bmg,bmb,byy,bli,byi,brm,bxx,bkt,brf,bkp,bxg,bqu,bkf,bww,bws,bwl,bct,bcp,bja,biz,bpj,bip,bhy,bbm,boh,buu,bbe,bnx,buf,dez,dzn,diz,doo,efe,fom,flr,fuu,gey,gti,gix,gox,hem,hoo,hba,hum,hav,hke,job,jgb,kty,kzy,kmw,ktf,ksv,kel,kkq,kwy,kdg,kws,kcw,kcv,kpl,kon,khy,kbj,khx,kny,kng,ktu,lal,lel,lej,loq,loo,led,lea,lol,lwa,log,liz,lnz,luj,lin,lik,lub,lie,lua,lmi,lgz,lse,lgm,les,mdm,mnh,msj,mfc,myc,mxh,mdq,mdp,mwz,mdk,mdj,mdi,mmz,nbw,nlo,nkw,nyj,nyg,ndw,ndt,nyc,ndl,ndk,noq,nxd,niy,nix,nuu,nue,nnb,nto,nbd,ngc,nlj,ngb,nga,oml,omi,pmb,pem,ppp,pof,pae,rnd,shc,sgo,szg,slx,skt,swf,swc,sop,soo,soe,sod,sub,soc,sng,shr,smx,tmv,tek,tll,tor,tii,tbt,tbm,tap,vau,won,yel,yom,yns,yng,ymg,yaf,zms,zmp,zmq,zmf,zmb,zne,zmz,zmw",184,fra,,,Largest country in Sub-Saharan Africa.,"lua,swa,kon,lin,fra","Luba-Kasai, Swahili, Kongo, Lingala, French","French, Lingala, Kikongo, Swahili, Tshiluba ",,,,,,0,Africa,"The number of individual languages listed for Democratic Republic of the Congo is 213. Of these, 212 are living and 1 is extinct. Of the living languages, 9 are institutional, 31 are developing, 156 are vigorous, 8 are in trouble, and 8 are dying.",,Bolloré Africa Logistics,,,CD,-4.038333,21.758664,"-4.038333,21.758664",🔵 eyJpIjoiLTQuMDM4MzMzLDIxLjc1ODY2NCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOi00LjAzODMzMywibG5nIjoyMS43NTg2NjR9LCJlIjowfQ==
Denmark,,"dan,dsl,fao,jut,rmd,kal",6,dan,"Croatian (10,000), English (23,100), Icelandic (7,000), Iranian Persian (12,000), Iu Mien (8,000), Northern Kurdish (20,000), Polish (14,000), Serbian (15,000), Somali (16,000), Tamil (9,000), Thai (7,000), Turkish (30,000), Urdu (15,000), Vietnamese (12,000)","Croatian (10,000), English (23,100), Icelandic (7,000), Iranian Persian (12,000), Iu Mien (8,000), Northern Kurdish (20,000), Polish (14,000), Serbian (15,000), Somali (16,000), Tamil (9,000), Thai (7,000), Turkish (30,000), Urdu (15,000), Vietnamese (12,000)","European territory (metropolitan Denmark) only, without Greenland and Faroe Islands.",dan,Danish,Danish,"kal,deu,fao","Inuktitut, Greenlandic, German, Standard, Faroese","Faroese, German, Kalaallisut",,"Greenland_DK,Faroe Islands_DK",2,Eurasia,"The number of individual languages listed for Denmark is 8. Of these, 7 are living and 1 is extinct. Of the living languages, 4 are institutional, 2 are developing, and 1 is vigorous.",,,,,DK,56.26392,9.501785,"56.26392,9.501785",🔵 eyJpIjoiNTYuMjYzOTIsOS41MDE3ODUiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo1Ni4yNjM5MiwibG5nIjo5LjUwMTc4NX0sImUiOjB9
Djibouti,,,0,"fra,arb","Amharic (1,400), Greek (1,000), Hindi (600), Omani Spoken Arabic (38,900), Tigrigna (600)","Amharic (1,400), Greek (1,000), Hindi (600), Omani Spoken Arabic (38,900), Tigrigna (600)",,"fra,arb","French, Arabic, Standard","Arabic, French",,,,,,0,Africa,"The number of individual languages listed for Djibouti is 5. All are living languages. Of these, 2 are institutional, 2 are developing, and 1 is vigorous.",,,,,DJ,11.825138,42.590275,"11.825138,42.590275",🔵 eyJpIjoiMTEuODI1MTM4LDQyLjU5MDI3NSIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjExLjgyNTEzOCwibG5nIjo0Mi41OTAyNzV9LCJlIjowfQ==
Dominica,,,0,"eng,acf",,,,eng,English,English,,,,,,0,Americas,"The number of individual languages listed for Dominica is 3. All are living languages. Of these, 1 is institutional, 1 is developing, and 1 is vigorous.",,,,,DM,15.414999,-61.370976,"15.414999,-61.370976",🔵 eyJpIjoiMTUuNDE0OTk5LC02MS4zNzA5NzYiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0IjoxNS40MTQ5OTksImxuZyI6LTYxLjM3MDk3Nn0sImUiOjB9
